"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_car",0,NA,NA,NA,NA
"ASC_pt",-1.37787020799919,0.0320880259775613,-42.9403232521289,0.0304686187432261,-45.2226016417474
"ASC_bike",-1.89107329533404,0.0261756064699933,-72.2456344039971,0.0293646047790003,-64.3997530212431
"ASC_walk",0.341897601111539,0.0235821805771279,14.4981334526435,0.0327666654811713,10.4343117033988
"b_cost",-0.147951718652229,0.0050756152490597,-29.1495141755746,0.0054264747266653,-27.2647945682313
"b_tt_car",-0.0942197542018852,0.00231364604704401,-40.7234954206861,0.00270568905240341,-34.8228315882018
"b_tt_pt",-0.00623170640350669,0.0018354785723275,-3.39513982754073,0.00183770520932064,-3.39102614059108
"b_tt_bike",-0.0881451993454719,0.0013262533146693,-66.4618126646875,0.00224334750176608,-39.291816928086
"b_tt_walk",-0.0886676014478178,0.000819839398883084,-108.152403469039,0.00180758443825764,-49.0530896212439
"b_tt_access",-0.0428813752636624,0.00161849800862355,-26.4945492890231,0.00159922472050077,-26.8138521834722
"b_tt_waiting",-0.0423442257700937,0.00167324399076943,-25.3066653779655,0.00178714303534237,-23.6938090195907
"b_transfers",-0.170431388297201,0.025876837856024,-6.58625251066083,0.0254837610041793,-6.68784282937084
"b_tt_egress",-0.0583488757058204,0.00246866579662536,-23.6357937901447,0.00238126014579134,-24.5033604618743
"b_pt_precip",-0.00564094504807781,0.00159517323096761,-3.53625859472083,0.00154929186204194,-3.64098281691298
"b_pt_sun",-0.00504540663637964,0.00157927600472982,-3.19475925757689,0.00147721495086132,-3.41548576491039
"b_bike_precip",-0.00976814940332802,0.00167135798418383,-5.84443877120559,0.0016849478760523,-5.79730064185369
"b_bike_sun",0.0196866371391573,0.0014647447827375,13.4403190038092,0.00147485707434917,13.3481660572735
"b_walk_precip",-0.00430626445111027,0.00127323443976423,-3.38214575149857,0.00128338018776063,-3.3554082353603
"b_walk_sun",0.00203316577054799,0.00129788362826563,1.56652393656042,0.00125881062934997,1.61514823845894
