Model run by nils using Apollo 0.3.1 on R 4.3.2 for Linux.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : mode_choice_model
Model description                           : MNL model with time, cost, and pt frequency and transfers
Model run at                                : 2023-12-04 16:52:32.60197
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -829.910412
     reciprocal of condition number         : 0.000115238
Number of individuals                       : 112152
Number of rows in database                  : 112152
Number of modelled outcomes                 : 112152

Number of cores used                        :  10 
Model without mixing

LL(start)                                   : -77098.63
LL at equal shares, LL(0)                   : -130663.6
LL at observed shares, LL(C)                : -91332.31
LL(final)                                   : -77042.7
Rho-squared vs equal shares                  :  0.4104 
Adj.Rho-squared vs equal shares              :  0.4102 
Rho-squared vs observed shares               :  0.1565 
Adj.Rho-squared vs observed shares           :  0.1563 
AIC                                         :  154121.4 
BIC                                         :  154294.7 

Estimated parameters                        : 18
Time taken (hh:mm:ss)                       :  00:02:38.48 
     pre-estimation                         :  00:02:10.12 
     estimation                             :  00:00:5.23 
          initial estimation                :  00:00:4.13 
          estimation after rescaling        :  00:00:1.1 
     post-estimation                        :  00:00:23.13 
Iterations                                  :  11  
     initial estimation                     :  10 
     estimation after rescaling             :  1 

Unconstrained optimisation.

Estimates:
                 Estimate        s.e.   t.rat.(0)    Rob.s.e. Rob.t.rat.(0)
ASC_car          0.000000          NA          NA          NA            NA
ASC_pt          -1.377870    0.032088     -42.940    0.030469       -45.223
ASC_bike        -1.891073    0.026176     -72.246    0.029365       -64.400
ASC_walk         0.341898    0.023582      14.498    0.032767        10.434
b_cost          -0.147952    0.005076     -29.150    0.005426       -27.265
b_tt_car        -0.094220    0.002314     -40.723    0.002706       -34.823
b_tt_pt         -0.006232    0.001835      -3.395    0.001838        -3.391
b_tt_bike       -0.088145    0.001326     -66.462    0.002243       -39.292
b_tt_walk       -0.088668  8.1984e-04    -108.152    0.001808       -49.053
b_tt_access     -0.042881    0.001618     -26.495    0.001599       -26.814
b_tt_waiting    -0.042344    0.001673     -25.307    0.001787       -23.694
b_transfers     -0.170431    0.025877      -6.586    0.025484        -6.688
b_tt_egress     -0.058349    0.002469     -23.636    0.002381       -24.503
b_pt_precip     -0.005641    0.001595      -3.536    0.001549        -3.641
b_pt_sun        -0.005045    0.001579      -3.195    0.001477        -3.415
b_bike_precip   -0.009768    0.001671      -5.844    0.001685        -5.797
b_bike_sun       0.019687    0.001465      13.440    0.001475        13.348
b_walk_precip   -0.004306    0.001273      -3.382    0.001283        -3.355
b_walk_sun       0.002033    0.001298       1.567    0.001259         1.615


Overview of choices for MNL model component :
                                      car       pt      bike     walk
Times available                  89886.00 82644.00 107509.00 90492.00
Times chosen                     65261.00 10963.00  10872.00 25056.00
Percentage chosen overall           58.19     9.78      9.69    22.34
Percentage chosen when available    72.60    13.27     10.11    27.69



Classical covariance matrix:
                     ASC_pt      ASC_bike      ASC_walk        b_cost      b_tt_car       b_tt_pt
ASC_pt             0.001030    1.8015e-04    1.5272e-04    -4.439e-05     4.493e-06    -3.353e-06
ASC_bike         1.8015e-04    6.8516e-04    2.4831e-04     3.213e-07     1.496e-05     6.818e-06
ASC_walk         1.5272e-04    2.4831e-04    5.5612e-04    -7.033e-07     1.012e-05     4.234e-06
b_cost           -4.439e-05     3.213e-07    -7.033e-07     2.576e-05    -2.261e-08    -1.348e-06
b_tt_car          4.493e-06     1.496e-05     1.012e-05    -2.261e-08     5.353e-06     2.831e-06
b_tt_pt          -3.353e-06     6.818e-06     4.234e-06    -1.348e-06     2.831e-06     3.369e-06
b_tt_bike        -1.942e-06    -7.093e-06    -6.577e-07     1.020e-06     1.826e-06     9.309e-07
b_tt_walk         1.962e-07     5.303e-07    -8.284e-06     3.665e-07     7.919e-07     4.052e-07
b_tt_access      -1.322e-05     1.168e-06     5.324e-07    -2.589e-07     9.158e-07     2.806e-07
b_tt_waiting     -3.772e-06    -7.720e-10     2.364e-07    -1.453e-07     5.595e-07    -3.166e-07
b_transfers       1.023e-05     9.510e-08    -1.446e-06     2.160e-06     9.875e-07    -2.001e-05
b_tt_egress      -3.021e-05     4.975e-07    -4.078e-07    -5.061e-07     8.481e-07     3.154e-07
b_pt_precip      -1.232e-05    -3.097e-06    -2.771e-06     1.149e-07    -2.455e-08    -2.593e-08
b_pt_sun         -2.749e-05    -6.992e-06    -5.961e-06    -2.865e-08    -7.608e-09    -6.135e-08
b_bike_precip    -3.259e-06    -1.346e-05    -4.430e-06     1.879e-08    -5.003e-08    -2.894e-08
b_bike_sun       -7.080e-06    -2.689e-05    -9.233e-06    -1.802e-08    -9.043e-09    -2.753e-09
b_walk_precip    -2.888e-06    -4.466e-06    -8.817e-06     2.417e-08    -2.951e-08    -1.691e-08
b_walk_sun       -6.280e-06    -9.028e-06    -1.988e-05    -5.297e-09    -6.292e-09    -6.456e-10
                  b_tt_bike     b_tt_walk   b_tt_access  b_tt_waiting   b_transfers   b_tt_egress
ASC_pt           -1.942e-06     1.962e-07    -1.322e-05    -3.772e-06     1.023e-05    -3.021e-05
ASC_bike         -7.093e-06     5.303e-07     1.168e-06    -7.720e-10     9.510e-08     4.975e-07
ASC_walk         -6.577e-07    -8.284e-06     5.324e-07     2.364e-07    -1.446e-06    -4.078e-07
b_cost            1.020e-06     3.665e-07    -2.589e-07    -1.453e-07     2.160e-06    -5.061e-07
b_tt_car          1.826e-06     7.919e-07     9.158e-07     5.595e-07     9.875e-07     8.481e-07
b_tt_pt           9.309e-07     4.052e-07     2.806e-07    -3.166e-07    -2.001e-05     3.154e-07
b_tt_bike         1.759e-06     4.169e-07     3.900e-07     2.915e-07     5.968e-07     4.019e-07
b_tt_walk         4.169e-07     6.721e-07     1.493e-07     8.187e-08     2.266e-07     1.720e-07
b_tt_access       3.900e-07     1.493e-07     2.620e-06    -7.511e-08     2.225e-06    -4.968e-08
b_tt_waiting      2.915e-07     8.187e-08    -7.511e-08     2.800e-06    -1.156e-05    -1.578e-07
b_transfers       5.968e-07     2.266e-07     2.225e-06    -1.156e-05    6.6961e-04     4.365e-06
